Language,Synthesis_Index,Isolation_Index,Stock,NumberSpeakers
Sanskrit,0.5092807096018572,-0.7563265744471784,Indo-European,209770
Anglo-Saxon,-0.06923755870720105,-0.7864291246739318,Indo-European,1500000
Persian,-0.8077715182506803,0.327365233715943,Indo-European,51614320
English,-0.6108291290390859,1.0197238889312705,Indo-European,942533930
Yakut,-0.007693062078578017,-0.36499342149938474,Non-Indo-European,450000
Swahili,0.4600451122989586,-0.03386536900509749,Non-Indo-European,98054860
Annamite,-1.3739808872340142,1.7722876446001048,Non-Indo-European,68031420
Eskimo,1.9001863334087434,-1.1777622776217258,Non-Indo-European,57000
