LD,Location,Word,Longitude,Latitude,PopCnt,PopAge,PopIncome,IsNoun,WordFreq,WordLength
0.11336889550355522,Goes Ze,benen,3.877739167,51.50080782,1.313294660409167,0.1969674645273197,0.643481601029426,1,0.6652530867823366,0.42290647030325224
-0.49887819604760875,Berkel-Oud ZH,benen,4.464149176,51.98903627,-0.7069466332975661,-2.3896778482293124,0.4112303876362404,1,0.6652530867823366,0.42290647030325224
-0.07588232040921472,Neede Gl,benen,6.622521476,52.14261666,0.6242153189021228,0.38812732373133507,0.09486759390148908,1,0.6652530867823366,0.42290647030325224
0.2456044780094917,Finsterwolde Gn,benen,7.098723185,53.19468143,-0.3102058192055786,1.6554111343182187,-0.20315300583984555,1,0.6652530867823366,0.42290647030325224
0.3062950360459564,Zwartsluis Ov,benen,6.070411141,52.64287849,0.1881098928263855,-0.04914315999725177,-0.616418491227418,1,0.6652530867823366,0.42290647030325224
0.20705193337576588,Kuinre Ov,benen,5.837850751,52.79603923,-0.9337051555503592,-0.3425947367485601,-0.5002640364449117,1,0.6652530867823366,0.42290647030325224
0.2456044780094917,Aduard Gn,benen,6.454288974,53.25947268,0.04239577049180242,-2.3471332293298324,0.170202516645181,1,0.6652530867823366,0.42290647030325224
0.4445521033987001,Wanssum Lb,benen,6.081323833,51.54496259,-0.5295244340451456,-1.877281309351252,0.41454493376977675,1,0.6652530867823366,0.42290647030325224
-0.49887819604760875,Rhenen Ut,benen,5.576151128,51.95573311,0.4127687328883088,0.9773944315255086,0.442199220792989,1,0.6652530867823366,0.42290647030325224
0.11336889550355522,Hoorn NH,benen,5.058611119,52.64002681,1.5947670835737693,-0.6723096141713832,-0.4785415976303406,1,0.6652530867823366,0.42290647030325224
-0.07588232040921472,Groesbeek Gl,benen,5.931678573,51.7801093,0.7185810025542394,1.2419597124615882,0.06497769904548269,1,0.6652530867823366,0.42290647030325224
0.11336889550355522,Goirle NB,benen,5.06970448,51.52415641,0.8470728476383533,-0.5938339988971868,0.12618746607655887,1,0.6652530867823366,0.42290647030325224
0.4445521033987001,Zeeland NB,benen,5.677915591,51.70123528,-0.31412248044843677,-0.09140855141227476,-0.7173044023171099,1,0.6652530867823366,0.42290647030325224
0.05378893435949461,Koedijk NH,benen,4.753334106,52.67244288,-0.6729591485276653,-1.0815358370104724,-0.9097144471625088,1,0.6652530867823366,0.42290647030325224
0.11336889550355522,Doetinchem Gl,benen,6.284714589,51.97084497,1.6832182062224357,-0.2269330045937043,0.28954229295477246,1,0.6652530867823366,0.42290647030325224
0.20705193337576588,Culemborg Gl,benen,5.228072557,51.95827067,1.0099951546932595,-0.8408346293583768,-0.1072075478468006,1,0.6652530867823366,0.42290647030325224
0.20705193337576588,Deventer Ov,benen,6.170149391,52.25898488,2.0869036677921136,-0.24004288242592892,0.04451334528335245,1,0.6652530867823366,0.42290647030325224
0.4445521033987001,Middelharnis ZH,benen,4.160577819,51.75438941,0.7643690368479802,0.7774717874319625,-0.30719996552680884,1,0.6652530867823366,0.42290647030325224
0.13976105503335123,Hierden Gl,benen,5.679177755,52.36093326,-0.820394886367323,-0.7880558897698362,-0.5215567952866238,1,0.6652530867823366,0.42290647030325224
0.2127629126980244,Papendrecht ZH,benen,4.685698181,51.83256683,0.9486716827762132,-0.11686509395408763,0.45573934694877805,1,0.6652530867823366,0.42290647030325224
-0.16619885766509768,Ede Gl,benen,5.679657112,52.04744985,2.053220054588722,-0.3585822804694095,-0.20044767388513735,1,0.6652530867823366,0.42290647030325224
-0.07588232040921472,Bredevoort Gl,benen,6.617158309,51.94789133,-0.6316333923159357,0.5830659413917804,-1.0573031463131304,1,0.6652530867823366,0.42290647030325224
0.2456044780094917,Oude Pekela Gn,benen,7.0047552,53.11029767,0.7658740824377525,0.7676146780925416,-0.7965124075073157,1,0.6652530867823366,0.42290647030325224
0.42247490040891567,Brunssum Lb,benen,5.979609306,50.95089692,1.6670752611982134,0.7162926545829209,0.1184847245759166,1,0.6652530867823366,0.42290647030325224
-0.07588232040921472,Vlissingen Ze,benen,3.579188635,51.44700444,1.747273418440446,0.2997942607747346,0.2959123653244188,1,0.6652530867823366,0.42290647030325224
0.20705193337576588,Bakel NB,benen,5.742620539,51.50939922,-0.18392276885154904,-0.8280875198523372,-0.636950402857215,1,0.6652530867823366,0.42290647030325224
0.4445521033987001,Koewacht Ze,benen,3.970570791,51.23018518,-0.1728760338498944,0.7869301895384144,0.7787527328978451,1,0.6652530867823366,0.42290647030325224
0.3210080908657602,Brouwershaven Ze,benen,3.905853644,51.72620087,-0.872272682186299,1.8404529875980749,0.5229023281485532,1,0.6652530867823366,0.42290647030325224
0.05378893435949461,Zandvoort NH,benen,4.530443004,52.37657847,0.4587003660371961,2.4108163667193265,1.2395707335175543,1,0.6652530867823366,0.42290647030325224
0.2127629126980244,Benschop Ut,benen,4.987434684,52.01503807,-0.6734410228387505,-1.2464589020856154,-0.6350768135663364,1,0.6652530867823366,0.42290647030325224
0.05378893435949461,Abbekerk NH,benen,5.021978796,52.73308285,-0.8810566079374273,-0.22410027759271964,-0.40616540641341303,1,0.6652530867823366,0.42290647030325224
0.20705193337576588,Veghel NB,benen,5.561738026,51.62199935,0.9207112927730666,-0.6872461221837652,-0.16431253984281388,1,0.6652530867823366,0.42290647030325224
0.4445521033987001,Zuiddorpe Ze,benen,3.906365544,51.23499552,-0.8630817644175856,-0.21208690024330187,1.3489295591717823,1,0.6652530867823366,0.42290647030325224
