term,2.5%,97.5%
(Intercept),-7.046282023229124,15.168430514976095
Recipient.animacyO,1.170362351171432,2.080463304925117
Recipient.typeP,-3.981856730685989,-3.166992789578499
SemanticsC,-0.03811068110118107,1.155567764954755
SemanticsT,0.8152362904987068,1.5363362948500503
Speaker.sexM,-0.5818093811683005,-0.020105558323565913
Speaker.YOB,-0.006376148101914483,0.00492297507866028
Theme.animacyI,-0.5601624045573431,1.0784307645827702
Theme.typeN,-4.767487464527611,-3.9675442976322377
VarietyNZ,-1.2169390267512703,-0.3106587073728077
VarietyUK,-2.1660890448680097,-1.247261940487013
VarietyUS,-0.5920495784026235,0.1531173460563655
